sku,name,customerReviewAverage,customerReviewCount,customerTopRated,manufacturer,class,condition
6530198,"Apple - Geek Squad Certified Refurbished MacBook Air - 13.3"" Display - Intel Core i5 - 8GB Memory - 256GB Flash Storage - Silver",3.9,42.0,False,Apple,APPLE LAPTOP,Refurbished
6530199,"Apple - Geek Squad Certified Refurbished MacBook Pro - 13"" Display - Intel Core i5 - 8 GB Memory - 256GB Flash Storage - Space Gray",4.1,29.0,False,Apple,APPLE LAPTOP,Refurbished
6530200,"Apple - Geek Squad Certified Refurbished MacBook Pro - 13"" Display - Intel Core i5 - 8 GB Memory - 256GB Flash Storage - Space Gray",3.4,80.0,False,Apple,APPLE LAPTOP,Refurbished
6530202,"Apple - Geek Squad Certified Refurbished MacBook Pro - 13"" Display - Intel Core i5 - 8 GB Memory - 128GB Flash Storage - Silver",3.5,73.0,False,Apple,APPLE LAPTOP,Refurbished
6530203,"Apple - Geek Squad Certified Refurbished MacBook Pro - 13"" Display - Intel Core i5 - 8 GB Memory - 256GB Flash Storage - Silver",3.4,80.0,False,Apple,APPLE LAPTOP,Refurbished
6530205,"Apple - Geek Squad Certified Refurbished MacBook Air - 13.3"" Display - Intel Core i7 - 8GB Memory - 512GB Solid State Drive - Silver",3.7,9.0,False,Apple,APPLE LAPTOP,Refurbished
6530207,"Apple - Geek Squad Certified Refurbished MacBook - 12"" Display - Intel Core M3 - 8GB Memory - 256GB Flash Storage - Space Gray",3.1,7.0,False,Apple,APPLE LAPTOP,Refurbished
6530208,"Apple - Geek Squad Certified Refurbished MacBook Pro - 15"" Display - Intel Core i7 - 16 GB Memory - 512GB Flash Storage - Space Gray",4.2,22.0,False,Apple,APPLE LAPTOP,Refurbished
6530209,"Apple - Geek Squad Certified Refurbished MacBook Pro - 13"" Display - Intel Core i5 - 8 GB Memory - 256GB Flash Storage - Silver",4.1,29.0,False,Apple,APPLE LAPTOP,Refurbished
6530210,"Apple - Geek Squad Certified Refurbished MacBook Pro - 15"" Display - Intel Core i7 - 16 GB Memory - 256GB Flash Storage - Silver",2.3,10.0,False,Apple,APPLE LAPTOP,Refurbished
6530211,"Apple - Geek Squad Certified Refurbished MacBook Pro - 15"" Display - Intel Core i7 - 16 GB Memory - 512GB Flash Storage - Silver",4.2,22.0,False,Apple,APPLE LAPTOP,Refurbished
6530212,"Apple - Geek Squad Certified Refurbished Macbook - 12"" Display - Intel Core M3 - 8GB Memory - 256GB Flash Storage - Rose Gold",3.1,9.0,False,Apple,APPLE LAPTOP,Refurbished
6530213,"Apple - Geek Squad Certified Refurbished MacBook Pro - 13.3"" Display - Intel Core i7 - 16GB Memory - 512GB Solid State Drive - Space Gray",1.0,1.0,False,Apple,APPLE LAPTOP,Refurbished
6530214,"Apple - Geek Squad Certified Refurbished MacBook Pro - 13"" Display - Intel Core i5 - 8 GB Memory - 512GB Flash Storage - Space Gray",4.1,18.0,False,Apple,APPLE LAPTOP,Refurbished
6530215,"Apple - Geek Squad Certified Refurbished MacBook Pro® - 13"" Display - Intel Core i5 - 8 GB Memory - 512GB Flash Storage",4.1,18.0,False,Apple,APPLE LAPTOP,Refurbished
