itemNumber,class,name,customerReviewAverage,customerReviewCount,customerTopRated,modelNumber,salePrice,manufacturer,isRefurbished
9SIAE4NKE63058,desktop,"MSI Desktop Computer Cubi NUC,Intel Core 3 100U Processor,16GB DDR5,500GB SSD,Intel Graphics,Wifi-6,Windows 11 Pro",0.0,0,False,MSICUBINCORE316500SD11PRO,499.99,MSI,False
9SIAHZNK5N5475,desktop,"Lenovo ThinkCentre M920s Small Form Desktop, Six Core i5 8500 3.0Ghz, 32GB DDR4, 1TB NVMe PCIe SSD, USB Type C, Windows 11 Pro",0.0,0,False,DPC-20489,348.89,Lenovo,True
9SIAKWUJCG3500,desktop,"Dell Optiplex 5080 Short Form Factor Desktop, Intel i7-10700, 32GB DDR4, 1TB NVMe M.2 SSD, Windows 11 Pro",0.0,0,False,dell_5080sff_i710_jg_32_1TBn__,516.99,DELL,True
9SIBM02KJ95134,desktop,Dell OptiPlex 7050 SSF Core i5 Desktop Computer 16GB RAM 512GB SSD Windows 11 Pro Wi-Fi,0.0,0,False,00764046445972,299.0,DELL,True
9SIBPGTK1Z4240,desktop,Periphio Terra Prebuilt Gaming PC |AMD Ryzen 5 5600G (4.4GHz Turbo) | Radeon Vega 7 Graphics | 1TB M.2 NVMe SSD | 16GB DDR4 RAM | Windows 11 Gaming Desktop Computer | WiFi + BT,3.3,3,False,698869998868,604.99,Periphio,False
9SIAE4NKMA1901,desktop,Dell Vostro Desktop | 12th Gen Intel Core i9-12900K| 32GB DDR5|512GB SSD Plus 1TB HDD| WiFi-6| Dual Monitor Support| Windows 11 Pro,0.0,0,False,VOST303012i932512SD111TB,999.0,DELL,False
9SIC1BEKJH4598,desktop,"Lenovo ThinkCentre Mini Computer PC Intel Core i5-6500T, 16GB DDR4 Ram, 256GB NVMe SSD, Wireless Keyboard & Mouse, Wi-Fi, Windows 11 Professional (Renewed)",0.0,0,False,MXZN-8/6/2025/936,194.99,Lenovo,True
9SIA1HJKFX5655,desktop,"Skytech Shadow Gaming PC Desktop, Ryzen 5 7600X 4.7 GHz (5.3GHz Turbo), AMD RX 7600 8GB , 1TB NVMe SSD, 32GB DDR5 RAM 6000 RGB, 650W GOLD PSU, 240mm ARGB AIO, Wi-Fi, Win 11",0.0,0,False,ST-SHADOW4-1092-B-SK,1029.99,Skytech,False
9SIAJP0KKJ6621,desktop,"STGAubron Gaming PC Desktop, GeForce RTX 3060 Ti 8G Graphics, AMD Ryzen 7 5700X up to 4.6Ghz, 32G DDR4 RAM, 1TB SSD, 600M WiFi, BT 5.0, RGB Fan x 4, Windows 11 Home",0.0,0,False,NEGNFBAB0CCW3CG8N-USVA,879.99,STGAubron,False
9SIADG3KJF3815,desktop,"Intel NUC 14 Pro Slim Kit Mini PC (Intel Core 3 100U (> i7-1165G7), 8GB RAM, 256GB SSD) Booksize Business Desktop, Support 4 x 4K Monitors, 2 x Thunderbolt 4, Wi-Fi 6E, Win 11 Pro, NUC14RVKI3 - ASUS",0.0,0,False,ASUS NUC14 Pro Slim Kit Mini PC C3 8 256,499.99,ASUS,False
9SIAE4NKNU1074,desktop,"Lenovo ThinkCentre Neo 50Q Tiny Business Mini Desktop (Intel i5-13420H, Intel UHD, 16GB DDR4, 512GB PCIe SSD, WiFi 6, Bluetooth 5.2, 65W PSU, RJ-45, 1 Display Port, 1 x HDMI 2.1, Win 11 Home)",0.0,0,False,ME-243502300333,549.99,Lenovo,False
9SIC21HKKB5357,desktop,AODU Gaming Desktop PC-Windows11-Intel i7 14700F 2.1 GHz (5.3GHz Turbo)-GeForce RTX 5060 Ti 16G OC -DDR5 32GB 6000MHz RMA-1TB M.2 NVMe SSD-800W PSU-panoramic PC case WiFi6 RGB White Prebuilt Gaming PC,0.0,0,False,6976592030533,1499.0,AODU,False
9SIA4P0KEJ2948,desktop,MSI Desktop Computer Cubi N ADL-021US Intel N100 4GB DDR4 128 GB M.2 SATA SSD Windows 11 Pro 64-bit,4.5,4,False,Cubi N ADL-021US,320.6,MSI,False
9SIAHZNKD29336,desktop,"Lenovo ThinkCentre M920 Desktop SFF Computer PC Intel Hexa Core i5-8500 up to 4.10GHz, 16GB DDR4 Ram, 512GB SSD Built-in Wi-Fi + Bluetooth, BTO Keyboard & Mouse, Windows 11 Pro (Renewed)",3.0,1,False,WB-LEi58-16512-6,314.44,Lenovo,True
9SIAKWUKG38459,desktop,"Dell Optiplex 7080 Small Form Desktop, Eight-Core i7 10700 2.9Ghz, 16GB DDR4, 2TB NVMe SSD, USB Type-C, DVD-RW, Windows 11 Pro",5.0,2,False,DPC-25349,519.99,DELL,True
9SIBPGTK1Z4240,desktop,Periphio Terra Prebuilt Gaming PC |AMD Ryzen 5 5600G (4.4GHz Turbo) | Radeon Vega 7 Graphics | 1TB M.2 NVMe SSD | 16GB DDR4 RAM | Windows 11 Gaming Desktop Computer | WiFi + BT,3.3,3,False,698869998868,604.99,Periphio,False
9SIBN7HJZD8944,desktop,"HP EliteDesk 800 G4, Mini Desktop, i7-8700T, 2.40 GHz, 32GB RAM, 256GB, SSD, Windows 11 Pro- Grade A",0.0,0,False,4HQ34UT-R2,379.0,HP,True
9SIAHZNBG72590,desktop,"Lenovo ThinkCentre M900 Desktop Computer PC, 3.40 GHz Intel i5 Quad Core Gen 6, 16GB DDR4 RAM, 500GB SATA Hard Drive, Windows 10 Home 64 bit",0.0,0,False,654728213060,158.99,Lenovo,True
9SIAKWUK137542,desktop,Dell Optiplex 5070 Desktop Computer | Hexa Core Intel i7 (3.4) | 16GB DDR4 RAM | 1TB SSD Solid State | Windows 11 Professional  | Home or Office PC,0.0,0,False,698869535278,420.99,DELL,True
83-151-670,desktop,MSI Aegis RS2 AI Gaming Desktop Intel Core Ultra 7 265K NVIDIA GeForce RTX 4070 SUPER 32GB RAM 2TB PCIe SSD Windows 11 Pro (C2NUE7-1075US),0.0,0,False,AEGIS RS2 AI C2NUE7-1075US,1692.99,MSI,True
9SIA4P0KHS8479,desktop,"CyberPowerPC Gamer Supreme Liquid Cooled Gaming Desktop Computer, AMD Ryzen 7 8700F 4.1GHz, 32GB RAM, 2TB SSD, AMD Radeon RX 9060 XT 16GB, Windows 11 Home, White",0.0,0,False,SLC11360CPG,1239.99,CyberpowerPC,False
9SIA8VG95R1692,desktop,DELL Desktop Computer OptiPlex 790 Intel Core i5-2400 8GB DDR3 240GB SSD Windows 10 Pro,5.0,10,False,16VFDEDT1254,125.0,DELL,True
9SIAE4NKKU2525,desktop,"Dell ECT Desktop  Intel Core Ultra 7 265K Processor,64GB DDR5,4TB SSD, Dual Monitor Support,Windows 11 Pro",0.0,0,False,ECT1250C7644TBSD11A,1499.0,DELL,False
9SIA7ABKEX5657,desktop,"Lenovo ThinkStation P3 Tiny Workstation Mini Desktop (Intel i5-13500, Intel UHD 770 Shared, 16GB DDR5, 1TB PCIe SSD, WiFi 6E, Bluetooth 5.3, 230W PSU, RJ-45, 1 Display Port, HDMI, Win 11 Pro)",0.0,0,False,ME-223393331209,1031.24,Lenovo,False
9SIAKWUJZA9785,desktop,Dell Optiplex 3000 3080 Micro Tower Desktop (2020) | Core i5 - 512GB SSD - 16GB RAM | 6 Cores @ 3.8 GHz - 10th Gen CPU,0.0,0,False,196105593674,379.99,DELL,True
9SIBPMFKDM8074,desktop,ASUS NUC 14 Pro Slim Mini PC Intel Core Ultra 7 155H Intel Arc Graphics 32GB DDR5 RAM 1TB PCIe SSD Thunderbolt 4 Wi-Fi 6E  Bluetooth 5.3 Support 8K / 4K Quad Monitors Windows 11 Pro | VESA Mount,0.0,0,False,HC320012020925,969.0,ASUS,False
9SIA4R8K4W8388,desktop,"Dell OptiPlex 7440 23.8"" FHD All in One Desktop Intel Quad Core i7-6700 3.40GHz16 GB DDR4 512 GB SSD Windows 10 Pro",0.0,0,False,DellAIO.7440i7-11,347.99,DELL,True
9SIACAGKEU4525,desktop,"HP ProDesk 600 G6 Desktop Mini PC, Intel Six Core i5 10500T 2.3Ghz, 16GB DDR4 RAM, 256GB NVMe M.2 SSD, USB Type C, Windows 11 Pro",0.0,0,False,DPC-24302,359.97,HP,True
9SIAHZNKE09501,desktop,"HP EliteDesk 800 G3 Desktop Computer PC, Intel Quad Core i7-7700 upto 4.20GHz, 16GB DDR4 Ram, 512GB SSD, Built-in Wi-Fi , BTO Keyboard & Mouse, Windows 11 Professional (Renewed)",0.0,0,False,WB-HP-i77-16512P-2,254.44,HP,True
9SIBEG7JT16758,desktop,DTA Computers Ryzen 5 32GB DDR5 2TB NVMe SSD Stasis ST Home Office Desktop PC Windows 11 Pro,0.0,0,False,DDS10T762T10,879.99,DTA Computers,False
9SIBAU4KF19958,desktop,Dell Wyse 5070 Desktop (2018) | Core Pentium Silver -  - 8GB RAM | 4 Cores,0.0,0,False,196105660673,329.99,DELL,False
83-360-757C,desktop,ABS Stratos Aqua Gaming PC - Windows 11 - AMD Ryzen 7 9800X3D - GeForce RTX 5080 - DLSS 4 - AI-Powered Performance - 32GB DDR5 5600MHz - 2TB M.2 NVMe SSD - SA9800X3D5080,0.0,0,False,SA9800X3D5080,2499.99,ABS,True
9SIAKWUJ2M2795,desktop,DELL Business Desktop OptiPlex 5060-MICRO Intel Core i7-8700T 16GB DDR4 256GB PCIe SSD Windows 11 Pro 64-bit,0.0,0,False,J1-5060MA10,370.99,DELL,True
9SIA6ABJHJ5434,desktop,Lenovo ThinkCentre M720s SFF Desktop - 8th Gen Intel Hexa-Core (6 Cores) i5-8500 up to 4.10 GHz 32 GB DDR4 256 GB SSD DVD-R WiFi/BT Windows 11 Pro,0.0,0,False,Lenovo.M720s.i5_9,414.95,Lenovo,True
9SIA8VG5M99090,desktop,Dell Optiplex 780 SFF Core 2 Duo E8400 3.0GHz 4GB 160GB Win 7 Pro,4.0,5,False,741533667659,125.0,DELL,True
9SIAE4NKB15331,desktop,Acer Aspire Desktop|14th Gen Intel Core i5-14400 Processor|16GB DDR5|1TB SSD|Wi-Fi 6|Bluetooth|Intel UHD Graphics|2 x HDMI|Dual Monitor Capable| Windows 11 Pro,0.0,0,False,ACERTC14i5161TBSDUR11,769.99,Acer America,False
